Constituency,Candidate,Party Name,Party,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,2021 RESULTS
Omalur,R.MANI,All India Anna Dravida Munnetra Kazhagam,AIADMK,142488,57.22,249027,15390974,142488,WIN
Ponneri,DURAI. CHANDRASEKAR,Indian National Congress,INC,94528,44.94,210354,1976527,94528,WIN
Sivaganga,PR. Senthilnathan,All India Anna Dravida Munnetra Kazhagam,AIADMK,82153,40.66,202044,15390974,82153,WIN
Sivakasi,Ashokan.G,Indian National Congress,INC,78947,42.66,185047,1976527,78947,WIN
Sriperumbudur,SELVAPERUNTHAGAI,Indian National Congress,INC,115353,43.65,264262,1976527,115353,WIN
Srivaikuntam,Amirtharaj .S,Indian National Congress,INC,76843,46.75,164386,1976527,76843,WIN
Srivilliputhur,"MANRAJ, E.M.",All India Anna Dravida Munnetra Kazhagam,AIADMK,70475,38.09,185039,15390974,70475,WIN
Tenkasi,PALANI NADAR.S,Indian National Congress,INC,89315,41.71,214108,1976527,89315,WIN
Thiruparankundram,"RAJANCHELLAPPA, V.V.",All India Anna Dravida Munnetra Kazhagam,AIADMK,103683,43.96,235849,15390974,103683,WIN
Thiruthuraipoondi,MARIMUTHU K,Communist Party of India,CPI,97092,52.23,185886,504537,97092,WIN
Tiruppur (North),VIJEYAKUMAR.K.N,All India Anna Dravida Munnetra Kazhagam,AIADMK,113384,47.62,238092,15390974,113384,WIN
Tiruvadanai,KARUMANICKAM,Indian National Congress,INC,79364,39.33,201815,1976527,79364,WIN
Udumalaipettai,"Radhakrishnan,K.",All India Anna Dravida Munnetra Kazhagam,AIADMK,96893,49.85,194358,15390974,96893,WIN
Uthangarai,T.M.TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,AIADMK,99675,52.96,188223,15390974,99675,WIN
Valparai,AMULKANDASAMI T K,All India Anna Dravida Munnetra Kazhagam,AIADMK,71672,49.37,145172,15390974,71672,WIN
Vaniyambadi,G.SENDHIL KUMAR,All India Anna Dravida Munnetra Kazhagam,AIADMK,88018,46.33,189997,15390974,88018,WIN
Vanur,CHAKRAPANI M,All India Anna Dravida Munnetra Kazhagam,AIADMK,92219,50.61,182208,15390974,92219,WIN
Velachery,JMH.AASSAN MAULAANA,Indian National Congress,INC,68493,38.76,176714,1976527,68493,WIN
Mayiladuthurai,Rajakumar.S,Indian National Congress,INC,73642,42.17,174640,1976527,73642,WIN
Vriddhachalam,Radhakrishnan,Indian National Congress,INC,77064,39.17,196734,1976527,77064,WIN
Coimbatore (South),VANATHI SRINIVASAN,Bharatiya Janata Party,BJP,53209,34.38,154765,1213510,53209,WIN
Colachal,Prince J.G.,Indian National Congress,INC,90681,49.56,182969,1976527,90681,WIN
Karaikudi,S.Mangudi,Indian National Congress,INC,75954,35.75,212456,1976527,75954,WIN
Kilvelur,NAGAIMAALI V P,Communist Party of India  (Marxist),CPIM,67988,47.55,142995,390819,67988,WIN
Sholinghur,A.M.MUNIRATHINAM,Indian National Congress,INC,110228,49.18,224109,1976527,110228,WIN
Thalli,RAMACHANDRAN.T,Communist Party of India,CPI,120641,62.18,194022,504537,120641,WIN
Thiruporur,S.S.Balaji,Viduthalai Chiruthaigal Katchi,VCK,93954,41.44,226729,457763,93954,WIN
Udhagamandalam,"GANESH, R.",Indian National Congress,INC,65530,46.44,141102,1976527,65530,WIN
Vilavancode,VIJAYADHARANI S,Indian National Congress,INC,87473,52.12,167836,1976527,87473,WIN
